OriginalName,Precursor,geneID,ensemblID,type,entrezID
hsa-miR-485-5p,hsa-mir-485,MIR485,ENSG00000208027,hsa,574436
hsa-miR-486-3p,hsa-mir-486,,hsa-miR-486-3p,hsa,
hsa-miR-486-5p,hsa-mir-486,,hsa-miR-486-5p,hsa,
hsa-miR-487b-3p,hsa-mir-487b,MIR487B,ENSG00000207754,hsa,664616
hsa-miR-488-3p,hsa-mir-488,MIR488,ENSG00000202609,hsa,574441
hsa-miR-491-5p,hsa-mir-491,MIR491,ENSG00000207609,hsa,574444
hsa-miR-493-5p,hsa-mir-493,MIR493,ENSG00000207989,hsa,574450
hsa-miR-494-3p,hsa-mir-494,MIR494,ENSG00000194717,hsa,574452
hsa-miR-497-5p,hsa-mir-497,MIR497,ENSG00000284027,hsa,574456
hsa-miR-504-5p,hsa-mir-504,MIR504,ENSG00000207800,hsa,574507
hsa-miR-532-5p,hsa-mir-532,MIR532,ENSG00000207758,hsa,693124
hsa-miR-539-3p,hsa-mir-539,MIR539,ENSG00000202560,hsa,664612
hsa-miR-542-3p,hsa-mir-542,MIR542,ENSG00000207784,hsa,664617
hsa-miR-551b-3p,hsa-mir-551b,MIR551B,ENSG00000207717,hsa,693136
hsa-miR-574-3p,hsa-mir-574,MIR574,ENSG00000207944,hsa,693159
hsa-miR-584-5p,hsa-mir-584,MIR584,ENSG00000207714,hsa,693169
hsa-miR-590-3p,hsa-mir-590,MIR590,ENSG00000207741,hsa,693175
hsa-miR-598-3p,hsa-mir-598,MIR598,ENSG00000207600,hsa,693183
hsa-miR-628-3p,hsa-mir-628,MIR628,ENSG00000283891,hsa,693213
hsa-miR-628-5p,hsa-mir-628,MIR628,ENSG00000283891,hsa,693213
hsa-miR-629-5p,hsa-mir-629,MIR629,ENSG00000207965,hsa,693214
hsa-miR-654-3p,hsa-mir-654,MIR654,ENSG00000207934,hsa,724024
hsa-miR-660-5p,hsa-mir-660,MIR660,ENSG00000207970,hsa,724030
hsa-miR-664a-5p,hsa-mir-664a,MIR664A,ENSG00000281696,hsa,100302234
hsa-miR-671-5p,hsa-mir-671,MIR671,ENSG00000284191,hsa,768213
hsa-miR-7-1-3p,hsa-mir-7-1,MIR7-1,ENSG00000284179,hsa,407043
hsa-miR-7-5p,hsa-mir-7-1,MIR7-1,ENSG00000284179,hsa,407043
hsa-miR-708-5p,hsa-mir-708,MIR708,ENSG00000211997,hsa,100126333
hsa-miR-744-5p,hsa-mir-744,MIR744,ENSG00000266297,hsa,100126313
hsa-miR-760,hsa-mir-760,MIR760,ENSG00000211575,hsa,100126348
hsa-miR-767-5p,hsa-mir-767,MIR767,ENSG00000211583,hsa,768215
hsa-miR-769-3p,hsa-mir-769,MIR769,ENSG00000211580,hsa,768217
hsa-miR-769-5p,hsa-mir-769,MIR769,ENSG00000211580,hsa,768217
hsa-miR-874-3p,hsa-mir-874,MIR874,ENSG00000216009,hsa,100126343
hsa-miR-877-5p,hsa-mir-877,MIR877,ENSG00000216101,hsa,100126314
hsa-miR-885-3p,hsa-mir-885,MIR885,ENSG00000216135,hsa,100126334
hsa-miR-889-3p,hsa-mir-889,MIR889,ENSG00000216099,hsa,100126345
hsa-miR-891a-5p,hsa-mir-891a,MIR891A,ENSG00000216056,hsa,100126341
hsa-miR-9-3p,hsa-mir-9-1,MIR9-1,ENSG00000207933,hsa,407046
hsa-miR-9-5p,hsa-mir-9-1,MIR9-1,ENSG00000207933,hsa,407046
hsa-miR-92a-3p,hsa-mir-92a-1,MIR92A1,ENSG00000283705,hsa,407048
hsa-miR-92b-3p,hsa-mir-92b,MIR92B,ENSG00000284586,hsa,693235
hsa-miR-92b-5p,hsa-mir-92b,MIR92B,ENSG00000284586,hsa,693235
hsa-miR-93-5p,hsa-mir-93,MIR93,ENSG00000207757,hsa,407050
hsa-miR-95-3p,hsa-mir-95,MIR95,ENSG00000207807,hsa,407052
hsa-miR-96-5p,hsa-mir-96,MIR96,ENSG00000199158,hsa,407053
hsa-miR-98-5p,hsa-mir-98,MIR98,ENSG00000271886,hsa,407054
hsa-miR-99a-3p,hsa-mir-99a,MIR99A,ENSG00000207638,hsa,407055
hsa-miR-99a-5p,hsa-mir-99a,MIR99A,ENSG00000207638,hsa,407055
hsa-miR-99b-3p,hsa-mir-99b,MIR99B,ENSG00000207550,hsa,407056
hsa-miR-99b-5p,hsa-mir-99b,MIR99B,ENSG00000207550,hsa,407056
ENSG00000000003,,TSPAN6,ENSG00000000003,ENS,7105
ENSG00000000419,,DPM1,ENSG00000000419,ENS,8813
ENSG00000000457,,SCYL3,ENSG00000000457,ENS,57147
ENSG00000000460,,C1orf112,ENSG00000000460,ENS,55732
ENSG00000000971,,CFH,ENSG00000000971,ENS,3075
ENSG00000001036,,FUCA2,ENSG00000001036,ENS,2519
ENSG00000001084,,GCLC,ENSG00000001084,ENS,2729
ENSG00000001167,,NFYA,ENSG00000001167,ENS,4800
ENSG00000001460,,STPG1,ENSG00000001460,ENS,90529
ENSG00000001461,,NIPAL3,ENSG00000001461,ENS,57185
ENSG00000001497,,LAS1L,ENSG00000001497,ENS,81887
ENSG00000001561,,ENPP4,ENSG00000001561,ENS,22875
ENSG00000001617,,SEMA3F,ENSG00000001617,ENS,6405
ENSG00000001629,,ANKIB1,ENSG00000001629,ENS,54467
ENSG00000001630,,CYP51A1,ENSG00000001630,ENS,1595
ENSG00000001631,,KRIT1,ENSG00000001631,ENS,889
ENSG00000002016,,RAD52,ENSG00000002016,ENS,5893
ENSG00000002330,,BAD,ENSG00000002330,ENS,572
ENSG00000002549,,LAP3,ENSG00000002549,ENS,51056
ENSG00000002586,,CD99,ENSG00000002586,ENS,4267
ENSG00000002587,,HS3ST1,ENSG00000002587,ENS,9957
ENSG00000002746,,HECW1,ENSG00000002746,ENS,23072
ENSG00000002822,,MAD1L1,ENSG00000002822,ENS,8379
ENSG00000002834,,LASP1,ENSG00000002834,ENS,3927
ENSG00000002919,,SNX11,ENSG00000002919,ENS,29916
ENSG00000002933,,TMEM176A,ENSG00000002933,ENS,55365
