ensemblID,beta,Type,geneID
ENSG00000082512,0.000726676695374934,ENS,TRAF5
ENSG00000228274,0.0033677897193066,ENS,AL021707.2
ENSG00000134278,0.000184379539925754,ENS,SPIRE1
ENSG00000149923,-0.00442805023083579,ENS,PPP4C
ENSG00000205213,0.0077139724209689,ENS,LGR4
ENSG00000198668,0.00169996229718794,ENS,CALM1
ENSG00000249258,-0.0019348984676216,ENS,AC079193.2
ENSG00000133704,0.00531508679600343,ENS,IPO8
ENSG00000141551,-0.00291169346977381,ENS,CSNK1D
ENSG00000167118,-0.00105389825355129,ENS,URM1
ENSG00000126062,-9.47784672220326e-05,ENS,TMEM115
ENSG00000157600,0.00372748212277839,ENS,TMEM164
ENSG00000181788,0.00136230589748609,ENS,SIAH2
ENSG00000022277,0.0065508120572467,ENS,RTF2
hsa-miR-9-5p,0.00394315497590005,hsa,
ENSG00000028528,0.00183401500353997,ENS,SNX1
ENSG00000185347,0.00656112103806815,ENS,TEDC1
ENSG00000133318,0.000241656295181897,ENS,RTN3
ENSG00000166821,0.00178264983942863,ENS,PEX11A
ENSG00000168778,0.00032022754940692,ENS,TCTN2
ENSG00000173894,-0.000834864550333208,ENS,CBX2
ENSG00000170542,0.000753858701267513,ENS,SERPINB9
hsa-miR-148b-3p,0.00146775976428477,hsa,
ENSG00000186310,-0.00143658077565881,ENS,NAP1L3
ENSG00000183837,-0.00185258639863694,ENS,PNMA3
ENSG00000116954,-0.00384649365276649,ENS,RRAGC
ENSG00000169871,0.00329119198813746,ENS,TRIM56
ENSG00000180720,0.00532377382601272,ENS,CHRM4
ENSG00000143443,-0.000218244552376887,ENS,C1orf56
ENSG00000104324,0.00771181580670998,ENS,CPQ
ENSG00000089486,-0.00226605692165703,ENS,CDIP1
ENSG00000159164,0.00186965029776985,ENS,SV2A
ENSG00000106105,-0.00726041383053176,ENS,GARS
ENSG00000177479,-0.0118356260240538,ENS,ARIH2
ENSG00000230831,0.00792255061738554,ENS,AC007349.2
ENSG00000127554,-0.00115008030157266,ENS,GFER
ENSG00000154277,0.000670345279042742,ENS,UCHL1
ENSG00000183638,0.00193438472083809,ENS,RP1L1
ENSG00000101210,0.00211180833947186,ENS,EEF1A2
ENSG00000031698,-0.0062383996344726,ENS,SARS
ENSG00000197921,0.000891806917499875,ENS,HES5
ENSG00000204310,0.000312167015337115,ENS,AGPAT1
ENSG00000075415,0.000430575943995952,ENS,SLC25A3
ENSG00000100307,0.00347445616599373,ENS,CBX7
ENSG00000104419,0.00494239883626385,ENS,NDRG1
ENSG00000074201,0.00439889955355945,ENS,CLNS1A
ENSG00000135272,0.00207740759523202,ENS,MDFIC
ENSG00000167065,0.0018582343130212,ENS,DUSP18
ENSG00000188316,0.00290199691180447,ENS,ENO4
ENSG00000244112,0.00445828401443783,ENS,RN7SL508P
ENSG00000134440,1.24828214904234e-05,ENS,NARS
ENSG00000142784,-6.13003088159902e-05,ENS,WDTC1
ENSG00000225439,0.001270980421517,ENS,BOLA3-AS1
ENSG00000188786,0.00404478544020046,ENS,MTF1
ENSG00000078808,-0.000509739418937364,ENS,SDF4
ENSG00000164924,0.000215932807032889,ENS,YWHAZ
ENSG00000147601,0.00764527037753699,ENS,TERF1
ENSG00000148498,0.00252769368388193,ENS,PARD3
ENSG00000172264,0.000181984559101264,ENS,MACROD2
ENSG00000108100,0.00128258820368808,ENS,CCNY
ENSG00000213949,-0.00858669241464451,ENS,ITGA1
ENSG00000231754,-0.00219126285489549,ENS,AL512380.1
ENSG00000232098,0.00962448065730325,ENS,AC012313.1
ENSG00000204469,-0.000599691407352105,ENS,PRRC2A
ENSG00000260257,-0.000213870586397561,ENS,AL035071.1
ENSG00000172667,0.000855846904418755,ENS,ZMAT3
ENSG00000140682,0.00134275386383238,ENS,TGFB1I1
ENSG00000160345,0.0118248224953295,ENS,C9orf116
ENSG00000158458,-0.00278230571330447,ENS,NRG2
ENSG00000156603,-0.000233260954153357,ENS,MED19
ENSG00000256683,0.00266482082422421,ENS,ZNF350
ENSG00000215644,0.00775988181512372,ENS,GCGR
ENSG00000103599,-0.0018230434510769,ENS,IQCH
ENSG00000151320,0.00210720027532827,ENS,AKAP6
ENSG00000171735,-0.00272579466627147,ENS,CAMTA1
ENSG00000227372,0.00202603383406761,ENS,TP73-AS1
ENSG00000164418,-0.0012415393956082,ENS,GRIK2
ENSG00000128590,-0.000394123941339883,ENS,DNAJB9
ENSG00000147485,0.0104539494090506,ENS,PXDNL
hsa-let-7f-5p,0.0118281435688817,hsa,
ENSG00000057757,0.00343907411094036,ENS,PITHD1
ENSG00000100441,0.00339773091045689,ENS,KHNYN
ENSG00000133195,-0.00396281280424844,ENS,SLC39A11
ENSG00000180879,0.00357938156092755,ENS,SSR4
ENSG00000271347,-0.000684384040523903,ENS,AC124312.5
ENSG00000089234,0.00266411648167724,ENS,BRAP
ENSG00000160256,-0.00282899310548916,ENS,FAM207A
ENSG00000226479,0.00501292594040136,ENS,TMEM185B
ENSG00000111737,0.00136735692392461,ENS,RAB35
ENSG00000204033,-0.000351698980809544,ENS,LRIT2
ENSG00000110987,-0.00158396938446901,ENS,BCL7A
ENSG00000137656,0.00390016831479169,ENS,BUD13
ENSG00000026025,0.00235107076085193,ENS,VIM
ENSG00000181852,-0.000528381874411783,ENS,RNF41
ENSG00000137575,-0.00274883603096269,ENS,SDCBP
ENSG00000182389,-0.00187542329014252,ENS,CACNB4
ENSG00000105953,-0.00177325129189399,ENS,OGDH
ENSG00000102452,-0.00620942386802182,ENS,NALCN
ENSG00000139053,0.00608434660441831,ENS,PDE6H
ENSG00000173473,0.00204264506929608,ENS,SMARCC1
ENSG00000186462,0.00336171125268036,ENS,NAP1L2
ENSG00000234028,0.0045782239102652,ENS,EIF2AK3-DT
ENSG00000072657,-0.000983039301814356,ENS,TRHDE
ENSG00000035687,-0.000550038454412885,ENS,ADSS
ENSG00000133069,-0.00270584516510332,ENS,TMCC2
ENSG00000177519,0.011905357660459,ENS,RPRM
ENSG00000105767,-0.000962523107345856,ENS,CADM4
ENSG00000109047,-0.000125725523447078,ENS,RCVRN
ENSG00000268043,0.00504416995190032,ENS,NBPF12
ENSG00000130340,-0.000169544415224238,ENS,SNX9
ENSG00000176022,0.00261363468092464,ENS,B3GALT6
ENSG00000075945,-9.69827329429944e-05,ENS,KIFAP3
ENSG00000102882,0.000311489698890526,ENS,MAPK3
ENSG00000141002,-0.00188277556196473,ENS,TCF25
ENSG00000141644,0.00123730771211154,ENS,MBD1
ENSG00000167658,-0.00228361137980806,ENS,EEF2
ENSG00000154511,-0.00166102885946873,ENS,DIPK1A
ENSG00000172725,-0.00351318378795901,ENS,CORO1B
ENSG00000165023,-0.00492941319147229,ENS,DIRAS2
ENSG00000268858,0.0026093919120178,ENS,AL118506.1
ENSG00000063660,0.000919447491682788,ENS,GPC1
ENSG00000204231,0.00794093904157113,ENS,RXRB
ENSG00000111912,0.00190730642257418,ENS,NCOA7
ENSG00000152620,0.00115898724674912,ENS,NADK2
ENSG00000173376,0.00594398511921096,ENS,NDNF
ENSG00000267106,0.00315247863987719,ENS,ZNF561-AS1
ENSG00000177822,0.00676219541712028,ENS,TENM3-AS1
ENSG00000103061,0.00349852309730881,ENS,SLC7A6OS
ENSG00000119185,1.71422286671703e-06,ENS,ITGB1BP1
ENSG00000041357,0.000741184908664698,ENS,PSMA4
ENSG00000138821,0.00250262688609965,ENS,SLC39A8
ENSG00000154153,0.00126507050234574,ENS,RETREG1
ENSG00000167083,0.00428797255212259,ENS,GNGT2
hsa-miR-27b-3p,0.00348685755110236,hsa,
ENSG00000020181,0.00247471865070808,ENS,ADGRA2
ENSG00000116141,0.00285360776807759,ENS,MARK1
ENSG00000213023,0.0009246366833027,ENS,SYT3
ENSG00000115233,-0.00202454002763329,ENS,PSMD14
