cellType,p_val,avg_logFC,pct.1,pct.2,p_val_adj,ensemblID,cellTypeShort,geneID,n,Unique
Unknown,8.23304636910551e-20,0.772660505715647,0.249,0.12,1.7791613203637e-15,ENSG00000154096,Unknown,THY1,2,FALSE
Unknown,1.08122010107018e-19,0.893981709621065,0.275,0.148,2.33651663841266e-15,ENSG00000168137,Unknown,SETD5,2,FALSE
Unknown,2.04922563202931e-19,0.791887216755487,0.233,0.11,4.42837659081534e-15,ENSG00000139970,Unknown,RTN1,5,FALSE
Unknown,2.05343546868016e-19,0.857096119894671,0.243,0.119,4.43747404781783e-15,ENSG00000110514,Unknown,MADD,4,FALSE
Unknown,2.13192715958445e-19,0.866709054434358,0.289,0.16,4.60709459186199e-15,ENSG00000196914,Unknown,ARHGEF12,3,FALSE
Unknown,2.48810942702468e-19,0.716520253158875,0.119,0.037,5.37680447180033e-15,ENSG00000159433,Unknown,STARD9,1,TRUE
Unknown,4.01408197712159e-19,0.873438129609712,0.158,0.061,8.67443115255976e-15,ENSG00000079156,Unknown,OSBPL6,2,FALSE
Unknown,5.64868300348558e-19,0.903145463632084,0.136,0.048,1.22068039705323e-14,ENSG00000213983,Unknown,AP1G2,3,FALSE
Unknown,6.95460125542819e-19,0.870897877056494,0.308,0.18,1.50288933129803e-14,ENSG00000141279,Unknown,NPEPPS,2,FALSE
Unknown,7.20900273804987e-19,0.81974130234442,0.154,0.058,1.55786549169258e-14,ENSG00000130477,Unknown,UNC13A,4,FALSE
Unknown,1.40118394957634e-18,0.679108626661012,0.115,0.036,3.02795851503448e-14,ENSG00000172137,Unknown,CALB2,3,FALSE
Unknown,2.41034291630394e-18,0.713480702417933,0.146,0.053,5.20875104213282e-14,ENSG00000185818,Unknown,NAT8L,4,FALSE
Unknown,3.00911342500687e-18,0.652718310108191,0.488,0.392,6.50269411143985e-14,ENSG00000197694,Unknown,SPTAN1,3,FALSE
Unknown,3.76068330880863e-18,0.856080153558073,0.231,0.114,8.12683663033546e-14,ENSG00000054356,Unknown,PTPRN,3,FALSE
Unknown,6.31536652587245e-18,0.764728598485844,0.318,0.188,1.36475070624104e-13,ENSG00000004534,Unknown,RBM6,3,FALSE
Unknown,9.00588988316432e-18,0.798913888244519,0.18,0.078,1.94617280375181e-13,ENSG00000164211,Unknown,STARD4,4,FALSE
Unknown,2.43746218415039e-17,0.832434681738091,0.152,0.06,5.26735577994899e-13,ENSG00000075340,Unknown,ADD2,4,FALSE
Unknown,3.3489984848928e-17,0.853793830866611,0.277,0.158,7.23718572585335e-13,ENSG00000143442,Unknown,POGZ,2,FALSE
Unknown,3.50894790099161e-17,0.759416210758165,0.103,0.032,7.58283641404286e-13,ENSG00000075826,Unknown,SEC31B,2,FALSE
Unknown,3.67386045069405e-17,0.861219238337579,0.209,0.1,7.93921243394984e-13,ENSG00000155744,Unknown,FAM126B,2,FALSE
Unknown,4.88833205532211e-17,0.80317885167469,0.109,0.036,1.05636855715511e-12,ENSG00000151726,Unknown,ACSL1,3,FALSE
Unknown,4.90966075835276e-17,0.883233501827738,0.269,0.152,1.06097768988003e-12,ENSG00000106976,Unknown,DNM1,4,FALSE
Unknown,8.52565568678072e-17,0.832729753306082,0.168,0.071,1.84239419391331e-12,ENSG00000187531,Unknown,SIRT7,3,FALSE
Unknown,8.86200104008045e-17,0.757041861514883,0.146,0.057,1.91507842476139e-12,ENSG00000107731,Unknown,UNC5B,4,FALSE
Unknown,9.55057036847902e-17,0.732993108003939,0.107,0.034,2.06387825662832e-12,ENSG00000085982,Unknown,USP40,1,TRUE
Unknown,9.58492166195897e-17,0.827898830476793,0.235,0.121,2.07130157114933e-12,ENSG00000197043,Unknown,ANXA6,3,FALSE
Unknown,1.02275847538053e-16,0.89463725197401,0.283,0.169,2.21018106529733e-12,ENSG00000047249,Unknown,ATP6V1H,2,FALSE
Unknown,1.04853175344647e-16,0.813760073238456,0.152,0.061,2.26587711919781e-12,ENSG00000116977,Unknown,LGALS8,4,FALSE
Unknown,1.18649377936077e-16,0.683863068105982,0.111,0.037,2.56401305719863e-12,ENSG00000132932,Unknown,ATP8A2,2,FALSE
Unknown,1.62127445432763e-16,0.820021333116653,0.113,0.039,3.503574095802e-12,ENSG00000176697,Unknown,BDNF,2,FALSE
Unknown,2.93964447282823e-16,0.721159786314124,0.121,0.043,6.35257170578181e-12,ENSG00000118263,Unknown,KLF7,2,FALSE
Unknown,3.17279650046876e-16,0.861404244046554,0.239,0.127,6.85641323751299e-12,ENSG00000168488,Unknown,ATXN2L,2,FALSE
Unknown,3.1738499265751e-16,0.908877145832117,0.192,0.091,6.85868969132879e-12,ENSG00000102606,Unknown,ARHGEF7,4,FALSE
Unknown,4.42469040779188e-16,0.656977974735581,0.156,0.063,9.56175597123826e-12,ENSG00000124785,Unknown,NRN1,4,FALSE
Unknown,4.91010902872966e-16,0.675247131095808,0.204,0.096,1.06107456110848e-11,ENSG00000187479,Unknown,C11orf96,3,FALSE
Unknown,5.332544397195e-16,0.724150157169056,0.107,0.036,1.15236284423384e-11,ENSG00000140398,Unknown,NEIL1,1,TRUE
Unknown,5.37773172805981e-16,0.833653722629128,0.162,0.069,1.16212782643373e-11,ENSG00000094631,Unknown,HDAC6,2,FALSE
Unknown,1.0871328923854e-15,0.779532167222488,0.263,0.148,2.34929418044486e-11,ENSG00000160613,Unknown,PCSK7,2,FALSE
Unknown,1.16168732415709e-15,0.680108723849881,0.109,0.037,2.51040630750348e-11,ENSG00000183426,Unknown,NPIPA1,2,FALSE
Unknown,1.40553037175509e-15,0.743506812633215,0.204,0.099,3.03735113336275e-11,ENSG00000177169,Unknown,ULK1,3,FALSE
Unknown,1.69897367172657e-15,0.726172384702041,0.15,0.061,3.67148210460111e-11,ENSG00000099331,Unknown,MYO9B,2,FALSE
